from_node,to_node,distance (meters),travel_time,link_type,route,rdrs_AM,rdrs_MD,rdrs_PM,rdrs_EV,tt_rdrs
1103,1105,317.9991112,23.71151736,1,4,1.0,0.0,0.0,0.0,1.0
1105,1103,317.9991112,23.71151736,1,4,1.0,0.0,0.0,0.0,1.0
1105,1107,72.99979598,5.44320996,1,4,2.0,0.0,1.0,0.0,3.0
1107,1105,72.99979598,5.44320996,1,4,3.0,1.0,4.0,0.0,8.0
1107,1149,129.9996367,9.6933876,1,4,2.0,0.0,1.0,0.0,3.0
1149,1107,129.9996367,9.6933876,1,4,3.0,1.0,4.0,0.0,8.0
1149,1109,110.9996898,8.27666172,1,4,3.0,0.0,1.0,0.0,4.0
1109,1149,110.9996898,8.27666172,1,4,4.0,4.0,4.0,0.0,12.0
1109,1099,197.9994466,14.76377496,1,4,2.0,0.0,2.0,0.0,4.0
1099,1109,197.9994466,14.76377496,1,4,4.0,6.0,5.0,0.0,15.0
1099,1150,165.9995361,12.37771032,1,4,2.0,0.0,2.0,0.0,4.0
1150,1099,165.9995361,12.37771032,1,4,3.0,6.0,6.0,0.0,15.0
1150,1101,208.9994159,15.58398468,1,4,2.0,0.0,2.0,0.0,4.0
1101,1150,208.9994159,15.58398468,1,4,3.0,6.0,6.0,0.0,15.0
1120,1153,200.9994382,14.98746852,1,4,1.0,1.0,6.0,1.0,9.0
1153,1120,200.9994382,14.98746852,1,4,5.0,3.0,0.0,1.0,9.0
1153,1117,238.999332,17.82092028,1,4,1.0,1.0,5.0,1.0,8.0
1117,1153,238.999332,17.82092028,1,4,3.0,2.0,0.0,0.0,5.0
1117,1170,154.9995668,11.5575006,1,4,1.0,1.0,5.0,1.0,8.0
1170,1117,154.9995668,11.5575006,1,4,2.0,2.0,0.0,1.0,5.0
1170,1116,171.9995193,12.82509744,1,4,1.0,1.0,5.0,1.0,8.0
1116,1170,171.9995193,12.82509744,1,4,2.0,2.0,0.0,1.0,5.0
1116,1154,207.9994187,15.50942016,1,4,1.0,1.0,5.0,1.0,8.0
1154,1116,207.9994187,15.50942016,1,4,1.0,2.0,0.0,1.0,4.0
1154,1152,162.9995444,12.15401676,1,4,1.0,0.0,4.0,0.0,5.0
1152,1154,162.9995444,12.15401676,1,4,1.0,2.0,0.0,1.0,4.0
1152,1111,274.9992314,20.505243,1,4,0.0,0.0,2.0,0.0,2.0
1111,1152,274.9992314,20.505243,1,4,1.0,0.0,0.0,0.0,1.0
1169,1161,111.999687,8.35122624,1,856,1.0,7.0,1.0,1.0,10.0
1161,1169,111.999687,8.35122624,1,856,1.0,0.0,1.0,0.0,2.0
1161,1158,105.9997037,7.90383912,1,856,1.0,8.0,1.0,1.0,11.0
1158,1161,105.9997037,7.90383912,1,856,1.0,0.0,2.0,0.0,3.0
1158,1119,256.9992817,19.16308164,1,856,1.0,8.0,5.0,1.0,15.0
1119,1158,256.9992817,19.16308164,1,856,2.0,1.0,4.0,0.0,7.0
1119,1118,221.9993795,16.55332344,1,856,18.0,31.0,33.0,1.0,83.0
1118,1119,221.9993795,16.55332344,1,856,18.0,26.0,40.0,0.0,84.0
1118,1157,193.9994578,14.46551688,1,856,18.0,29.0,34.0,1.0,82.0
1157,1118,193.9994578,14.46551688,1,856,24.0,24.0,38.0,1.0,87.0
1157,1106,231.9993516,17.29896864,1,856,15.0,27.0,24.0,2.0,68.0
1106,1157,231.9993516,17.29896864,1,856,19.0,21.0,35.0,1.0,76.0
1106,1115,270.9992426,20.20698492,1,856,11.0,25.0,25.0,2.0,63.0
1115,1106,270.9992426,20.20698492,1,856,19.0,21.0,29.0,1.0,70.0
1115,1151,101.9997149,7.60558104,1,856,10.0,12.0,6.0,0.0,28.0
1151,1115,101.9997149,7.60558104,1,856,5.0,10.0,10.0,1.0,26.0
1151,1142,339.9990497,25.3519368,1,856,10.0,12.0,6.0,0.0,28.0
1142,1151,339.9990497,25.3519368,1,856,5.0,10.0,9.0,1.0,25.0
1102,1160,193.9994578,14.46551688,1,856,0.0,0.0,0.0,1.0,1.0
1160,1102,193.9994578,14.46551688,1,856,0.0,0.0,3.0,1.0,4.0
1160,1104,208.9994159,15.58398468,1,856,8.0,10.0,14.0,2.0,34.0
1104,1160,208.9994159,15.58398468,1,856,7.0,21.0,14.0,6.0,48.0
1104,1108,238.999332,17.82092028,1,856,8.0,10.0,14.0,2.0,34.0
1108,1104,238.999332,17.82092028,1,856,7.0,21.0,15.0,6.0,49.0
1108,1156,261.9992677,19.53590424,1,856,8.0,15.0,28.0,4.0,55.0
1156,1108,261.9992677,19.53590424,1,856,9.0,17.0,19.0,4.0,49.0
1156,1100,278.9992202,20.80350108,1,856,7.0,15.0,29.0,4.0,55.0
1100,1156,278.9992202,20.80350108,1,856,9.0,17.0,19.0,4.0,49.0
1100,1110,241.9993236,18.04461384,1,856,7.0,15.0,26.0,5.0,53.0
1110,1100,241.9993236,18.04461384,1,856,9.0,18.0,19.0,4.0,50.0
1110,1155,215.9993963,16.10593632,1,856,2.0,3.0,1.0,1.0,7.0
1155,1110,215.9993963,16.10593632,1,856,0.0,0.0,3.0,1.0,4.0
1155,1168,224.9993712,16.777017,1,856,2.0,3.0,1.0,1.0,7.0
1168,1155,224.9993712,16.777017,1,856,0.0,0.0,2.0,1.0,3.0
1130,1125,244.9993153,18.2683074,1,916,3.0,6.0,3.0,3.0,15.0
1125,1130,244.9993153,18.2683074,1,916,2.0,1.0,4.0,0.0,7.0
1125,1113,134.9996227,10.0662102,1,916,3.0,4.0,3.0,2.0,12.0
1113,1125,134.9996227,10.0662102,1,916,0.0,1.0,4.0,0.0,5.0
1113,1121,196.9994494,14.68921044,1,916,2.0,3.0,3.0,2.0,10.0
1121,1113,196.9994494,14.68921044,1,916,0.0,1.0,4.0,0.0,5.0
1121,1112,306.999142,22.89130764,1,916,0.0,1.0,2.0,1.0,4.0
1112,1121,306.999142,22.89130764,1,916,0.0,1.0,2.0,0.0,3.0
1160,1124,227.9993628,17.00071056,1,916,7.0,21.0,13.0,5.0,46.0
1124,1160,227.9993628,17.00071056,1,916,8.0,10.0,16.0,1.0,35.0
1124,1123,196.9994494,14.68921044,1,916,9.0,18.0,14.0,4.0,45.0
1123,1124,196.9994494,14.68921044,1,916,7.0,10.0,12.0,1.0,30.0
1123,1122,192.9994606,14.39095236,1,916,10.0,18.0,15.0,4.0,47.0
1122,1123,192.9994606,14.39095236,1,916,8.0,10.0,11.0,0.0,29.0
1122,1131,212.9994047,15.88224276,1,916,7.0,12.0,8.0,4.0,31.0
1131,1122,212.9994047,15.88224276,1,916,6.0,10.0,12.0,0.0,28.0
1131,1130,128.9996395,9.61882308,1,916,7.0,13.0,8.0,4.0,32.0
1130,1131,128.9996395,9.61882308,1,916,3.0,8.0,7.0,0.0,18.0
1143,1144,239.9993292,17.8954848,1,917,5.0,2.0,10.0,0.0,17.0
1144,1143,239.9993292,17.8954848,1,917,2.0,3.0,7.0,0.0,12.0
1144,1137,228.99936,17.07527508,1,917,9.0,2.0,13.0,0.0,24.0
1137,1144,228.99936,17.07527508,1,917,5.0,6.0,11.0,1.0,23.0
1137,1146,127.9996423,9.54425856,1,917,10.0,5.0,15.0,0.0,30.0
1146,1137,127.9996423,9.54425856,1,917,6.0,10.0,13.0,1.0,30.0
1146,1135,207.9994187,15.50942016,1,917,11.0,5.0,15.0,0.0,31.0
1135,1146,207.9994187,15.50942016,1,917,7.0,10.0,13.0,1.0,31.0
1135,1145,247.9993069,18.49200096,1,917,14.0,7.0,17.0,0.0,38.0
1145,1135,247.9993069,18.49200096,1,917,7.0,12.0,13.0,1.0,33.0
1145,1136,298.9991643,22.29479148,1,917,14.0,8.0,17.0,0.0,39.0
1136,1145,298.9991643,22.29479148,1,917,7.0,12.0,15.0,1.0,35.0
1136,1115,290.9991867,21.69827532,1,917,18.0,13.0,22.0,0.0,53.0
1115,1136,290.9991867,21.69827532,1,917,5.0,15.0,21.0,1.0,42.0
1114,1148,241.9993236,18.04461384,1,936,4.0,5.0,6.0,0.0,15.0
1148,1114,241.9993236,18.04461384,1,936,3.0,5.0,6.0,0.0,14.0
1148,1147,325.9990889,24.30803352,1,936,6.0,7.0,12.0,0.0,25.0
1147,1148,325.9990889,24.30803352,1,936,5.0,14.0,18.0,0.0,37.0
1147,1139,295.9991727,22.07109792,1,936,12.0,17.0,22.0,0.0,51.0
1139,1147,295.9991727,22.07109792,1,936,10.0,22.0,24.0,0.0,56.0
1139,1166,250.9992985,18.71569452,1,936,12.0,17.0,21.0,0.0,50.0
1166,1139,250.9992985,18.71569452,1,936,16.0,26.0,37.0,0.0,79.0
1166,1138,205.9994243,15.36029112,1,936,14.0,19.0,23.0,0.0,56.0
1138,1166,205.9994243,15.36029112,1,936,15.0,26.0,34.0,0.0,75.0
1138,1140,226.9993656,16.92614604,1,936,18.0,25.0,27.0,0.0,70.0
1140,1138,226.9993656,16.92614604,1,936,17.0,31.0,35.0,0.0,83.0
1140,1141,283.9992063,21.17632368,1,936,19.0,25.0,27.0,0.0,71.0
1141,1140,283.9992063,21.17632368,1,936,19.0,31.0,37.0,0.0,87.0
1141,1119,147.9995864,11.03554896,1,936,19.0,25.0,27.0,0.0,71.0
1119,1141,147.9995864,11.03554896,1,936,19.0,33.0,38.0,0.0,90.0
1110,1127,337.9990553,25.20280776,1,936,7.0,13.0,28.0,5.0,53.0
1127,1110,337.9990553,25.20280776,1,936,14.0,21.0,18.0,3.0,56.0
1127,1132,333.9990665,24.90454968,1,936,8.0,13.0,27.0,5.0,53.0
1132,1127,333.9990665,24.90454968,1,936,13.0,18.0,15.0,3.0,49.0
1132,1126,170.9995221,12.75053292,1,936,10.0,12.0,29.0,5.0,56.0
1126,1132,170.9995221,12.75053292,1,936,14.0,20.0,15.0,4.0,53.0
1126,1133,210.9994103,15.73311372,1,936,10.0,12.0,24.0,4.0,50.0
1133,1126,210.9994103,15.73311372,1,936,13.0,20.0,12.0,3.0,48.0
1133,1134,357.9989994,26.69409816,1,936,9.0,9.0,20.0,2.0,40.0
1134,1133,357.9989994,26.69409816,1,936,11.0,14.0,8.0,3.0,36.0
1134,1128,197.9994466,14.76377496,1,936,5.0,6.0,19.0,1.0,31.0
1128,1134,197.9994466,14.76377496,1,936,8.0,8.0,4.0,3.0,23.0
1128,1129,116.999673,8.72404884,1,936,3.0,5.0,18.0,1.0,27.0
1129,1128,116.999673,8.72404884,1,936,8.0,8.0,4.0,2.0,22.0
1129,1167,125.9996478,9.39512952,1,936,0.0,0.0,8.0,0.0,8.0
1167,1129,125.9996478,9.39512952,1,936,1.0,1.0,1.0,0.0,3.0
1164,1162,1485.995847,110.8028767,1,520,1.0,0.0,3.0,0.0,4.0
1162,1164,1485.995847,110.8028767,1,520,6.0,0.0,4.0,0.0,10.0
1163,1165,1489.995836,111.1011348,1,520,0.0,1.0,0.0,0.0,1.0
1165,1163,1489.995836,111.1011348,1,520,0.0,2.0,0.0,0.0,2.0
