Micro Avg. Wait Time (s),Micro Utilization Rate (%),trial_index,arm_name,Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Peak fare factor,Micro to fixed factor,trial_status,generation_method
-209.0720044023261,19.78869018506943,0,0_0,2.5197097063064575,0.8375009894371033,2.0758684873580933,6,3.0571709871292114,0.014886128716170788,RUNNING,Sobol
-210.11607012061867,18.67283500723748,0,0_2,3.9884066246449947,1.657415758818388,2.8112432146444917,5,1.3799501648172736,0.9738050932064652,RUNNING,Sobol
-197.81879096629206,18.8049914698608,0,0_1,4.464361969381571,3.147165020927787,0.07766268867999315,4,1.8603151328861713,0.69356628973037,RUNNING,Sobol
-196.68232809658772,15.217492779231478,0,0_10,3.111508186906576,1.2353218626230955,0.5708098970353603,7,3.485530747100711,0.6258967882022262,RUNNING,Sobol
-206.76785775041316,16.41348149797543,0,0_11,1.9350597746670246,3.5348760336637497,1.5842773262411356,4,1.5974488062784076,0.07215649727731943,RUNNING,Sobol
-438.04828287204094,43.51723952542697,0,0_12,1.3528447821736336,0.14132741373032331,2.9039806444197893,4,1.3095186473801732,0.4469819013029337,RUNNING,Sobol
-180.0,7.888736855236213,0,0_13,3.6630834341049194,2.7538798796012998,0.7534311600029469,7,3.959522459656,0.7507245130836964,RUNNING,Sobol
-298.04387313932193,32.5529028633825,0,0_14,4.134148381650448,2.3633738001808524,1.9811523109674454,2,2.7526048263534904,0.534816637635231,RUNNING,Sobol
-203.55658018656194,15.82894066006756,0,0_3,1.0581650920212269,4.357899399474263,1.0356479538604617,3,3.326832028105855,0.2931112563237548,RUNNING,Sobol
-290.86308551969233,36.27788520402586,0,0_4,1.7337638512253761,2.1264553675428033,0.47604829352349043,2,3.7903709709644318,0.1684098280966282,RUNNING,Sobol
-181.16883116883116,8.79205513223402,0,0_5,3.2821682393550873,4.513869187794626,1.8645614990964532,6,1.1054167235270143,0.5991051588207483,RUNNING,Sobol
-515.8088996276583,48.54981677477927,0,0_6,4.7649607583880424,0.3688617469742894,1.3872036533430219,3,2.1482144575566053,0.8187285494059324,RUNNING,Sobol
-180.0,7.576019886698791,0,0_7,2.1884713619947433,2.9908326966688037,2.2717648213729262,7,2.583194280974567,0.3900478482246399,RUNNING,Sobol
-255.09838980267435,22.4539874046696,0,0_8,2.392704587429762,1.2697418872267008,1.2944201733916998,5,2.0780581682920456,0.3544633509591222,RUNNING,Sobol
-215.9314426299785,20.894579270468697,0,0_9,4.5913633443415165,3.9600411988794804,2.5540271177887917,2,3.216160320676863,0.9100952474400401,RUNNING,Sobol
-333.2258487614475,36.45273369252337,1,1_1,3.9358526683733692,1.9231004396654656,0.0,2,3.9549447844187973,0.2294380583381739,RUNNING,BoTorch
-445.97952484014036,47.26675270213659,1,1_0,2.4819627867309886,0.7309299920655694,1.2083821766633642,2,3.282683244197427,0.36011516566067686,RUNNING,BoTorch
-266.1767886353267,37.34797385979565,2,2_1,2.1842204497735507,3.1958004987069004,0.0,2,1.9782263375232152,0.42860944173674137,RUNNING,BoTorch
-463.3510137221611,57.4527119886156,2,2_0,2.7444940103066093,2.5115995659265513e-16,1.8750050013506856,2,1.876885378793931,0.5175412111443862,RUNNING,BoTorch
-463.61429736356524,49.447403691333925,3,3_0,1.9050276777893123,1.5855918410196044,0.7092208383725706,2,1.0708477497830557,0.46493977386617036,RUNNING,BoTorch
-342.02313666757277,37.17436297067993,3,3_1,2.267643411043367,3.970504579599674,1.6683383692560197e-15,2,1.0,0.9939086467999321,RUNNING,BoTorch
-474.8723843459325,57.390041444325576,4,4_1,2.978480245638146,0.0,2.0495094056821275,2,1.0,0.03158073902408696,RUNNING,BoTorch
-498.53341898611745,56.998720149651895,4,4_0,1.6431383968306876,0.0,2.1823393248457585,2,1.0030450168668463,0.886607150211193,RUNNING,BoTorch
-279.33617592388237,31.031810700639014,5,5_1,2.7514606195989217,3.7019572999056543,0.0,2,2.751561590985842,0.0,RUNNING,BoTorch
-494.3862226547894,56.73717051486623,5,5_0,1.0554212210736231,0.0,3.0,2,2.1078433645480548,0.06483479433122945,RUNNING,BoTorch
-495.2413729254754,56.409459336565945,6,6_0,4.23585454098037,0.0,3.0,2,1.0,0.4652926753276193,RUNNING,BoTorch
-270.60491947880416,33.67009661582954,6,6_1,1.0,3.0048112972828225,0.0,2,3.3321649905881365,0.739420723733584,RUNNING,BoTorch
-348.73317625540557,44.9776401628171,7,7_0,1.738128265155292,2.6710478256974683,0.0,2,1.5485005096083984,0.417202666207668,RUNNING,BoTorch
-444.3438881918348,60.15349427865024,7,7_1,1.000000000000021,7.06406772113599e-14,0.4999999999999631,2,1.0448991093963587,6.286664789075513e-15,RUNNING,BoTorch
-190.1874210820606,21.16452661696189,8,8_1,2.085190644610408,3.3800080885610173,0.0,3,2.551296574151414,0.46828801908235335,RUNNING,BoTorch
-440.83910894256,60.25671573821887,8,8_0,1.0,0.0,0.499999999999998,2,1.498655160215811,0.2885098792146231,RUNNING,BoTorch
-431.6893098739107,60.88023715101925,9,9_0,1.0000000000000073,3.3754464193869565e-14,0.5000000000000271,2,1.8698568346342124,0.0,RUNNING,BoTorch
-425.61233301963074,44.34944735864539,9,9_1,1.000000000000044,3.521111176336986,1.4363936775000474e-14,2,1.0000000000002371,5.35070135404021e-14,RUNNING,BoTorch
-191.3635883421482,17.30670710191142,10,10_0,3.191703782818146,3.5371446362354537,1.251815552010786,3,2.621226426107653,0.5419416634884822,RUNNING,BoTorch
-460.4503984989984,60.23989080870524,10,10_1,1.0,0.0,0.4999999983088718,2,1.8060261408556948,0.0,RUNNING,BoTorch
-506.87230892920206,54.255762581467735,11,11_1,1.0,0.49999985302605243,0.0,2,2.3107336325347116,0.32143442143691986,RUNNING,BoTorch
-461.20927976478794,59.43257295223884,11,11_0,1.0,0.056998579725765004,0.4430014202740822,2,2.4143563477687606,0.058335827473710994,RUNNING,BoTorch
-263.32994183869874,30.53770993283898,12,12_1,1.0,3.466248010027553,0.0,2,2.4987865650774195,0.7761091257439263,RUNNING,BoTorch
-486.48619226905174,53.7234600263527,12,12_0,1.0000018408604516,0.4999992133152454,0.0,2,1.9251461201724978,0.6331267822605431,RUNNING,BoTorch
-463.890656360887,57.587756105405454,13,13_1,1.0000000000000007,0.5000000000000072,8.053446780743518e-15,2,1.778851182164003,0.9605429014921023,RUNNING,BoTorch
-438.5528412870026,60.34144190672992,13,13_0,1.0,0.0,0.4999999999629765,2,2.040862856813818,0.21228628808547526,RUNNING,BoTorch
-407.4448137335031,45.84472415121531,14,14_1,1.0,2.2807572912736647,0.0,2,2.1230046750101894,0.0,RUNNING,BoTorch
-445.07097656151495,60.12569750555687,14,14_0,1.1029565712620746,3.754629552838697e-08,0.4999999692739111,2,2.0681411321869123,5.08727082897153e-11,RUNNING,BoTorch
-448.4237287126287,60.66385916234166,15,15_0,1.000000000138099,3.1194302469712752e-09,0.499999999718842,2,2.8389050540438867,1.5432870459716221e-07,RUNNING,BoTorch
-231.07703137501179,29.78035052833837,15,15_1,3.6601798026179426,4.325059575303867,3.393381926116289e-13,2,1.853748646679314,0.3571532245186789,RUNNING,BoTorch
-454.43883578042085,60.03773280110261,16,16_1,1.0000000000064417,9.366867936186975e-13,0.4999999999998292,2,1.3639844124634684,0.6908266580111694,RUNNING,BoTorch
-444.4175786896288,60.253263161461625,16,16_0,1.0,1.6282560116926854e-15,0.5000000000000008,2,3.820515449440561,5.721836702926534e-17,RUNNING,BoTorch
-441.76316489314274,60.52605353105227,17,17_1,1.0000000000000004,8.939943146646696e-16,0.5000000000000001,2,3.9999999999999987,0.9999999999999999,RUNNING,BoTorch
-455.48421794066354,60.28962431626429,17,17_0,1.0000000000073832,1.3767239450387186e-12,0.5000000000012943,2,3.3865826919301525,0.0,RUNNING,BoTorch
-465.6528623228746,54.35095969954919,18,18_1,1.0,0.0,3.0,2,4.0,0.0,RUNNING,BoTorch
-443.6955156193686,59.94515605669692,18,18_0,1.0000000000000047,1.5221694560019622e-14,0.5000000000000024,2,2.959646192780216,0.9999999999999993,RUNNING,BoTorch
-525.8079929566927,55.81265853620479,19,19_1,1.000000000000005,3.0384888780619e-14,0.5000000000000145,4,3.4798777356837483,0.9999999999999937,RUNNING,BoTorch
-444.36203475380427,60.315307387982976,19,19_0,1.0,0.0,0.4999994949284115,2,3.585135893216962,0.8236547606902813,RUNNING,BoTorch
-483.4176274728853,54.84564936532277,20,20_0,1.0,0.0,2.999999929305333,2,2.7753019098298672,1.0,RUNNING,BoTorch
-465.82299929087395,56.86695956149035,20,20_1,1.0,0.0,1.5184761881342559,2,1.0,0.20557279785427449,RUNNING,BoTorch
-409.4462683009901,29.48370994593721,21,21_1,1.0000000000000013,0.500000000000008,4.865280889648723e-16,7,3.0453850176972095,9.930545737945643e-15,RUNNING,BoTorch
-365.94966305852074,43.84910693305493,21,21_0,1.0000000000000069,1.4091875734805213,2.1710789096290823e-14,2,3.7550324563722906,0.9999999999999987,RUNNING,BoTorch
-462.5312263293139,58.38041291418082,22,22_0,1.0000000008994314,6.544864535324653e-10,0.49999912977094907,3,3.9999999998740328,0.46957335417456736,RUNNING,BoTorch
-462.2657146451855,61.08704360286033,22,22_1,4.999999998200073,3.5445436191127984e-10,0.5000000085156775,2,1.470489326902563,0.9999999999304069,RUNNING,BoTorch
-476.79965290150534,60.47829261344116,23,23_0,4.159927225727583,0.0,0.5000000000000003,2,1.0,0.6520362733285789,RUNNING,BoTorch
-516.3519966463911,56.3047513585598,23,23_1,4.999999999999998,0.0,2.7494905632470426,2,1.6397865683582513,1.0,RUNNING,BoTorch
-480.8758586323368,60.50919917785493,24,24_1,3.470308062441149,0.0,0.5000000001501663,2,1.3760311264169272,0.6499123375557037,RUNNING,BoTorch
-322.23849336482436,38.91966820139162,24,24_0,5.0,2.8560625445134367,0.0,2,1.822021732082327,1.0,RUNNING,BoTorch
-525.3693177999554,55.64425576040176,25,25_0,1.000000000060116,6.299900768457926e-12,0.5000000000024407,4,3.9999999999996323,2.584489353056985e-13,RUNNING,BoTorch
-313.21028767185,36.97189711519362,25,25_1,1.00000000001204,3.9287169276186433,2.3547512231964305e-11,2,1.78596263879085,3.6663842594488123e-10,RUNNING,BoTorch
-189.13040489237056,20.556261408400008,26,26_1,3.7031842674433615,3.9124938899460844,2.7410502923471863e-16,3,2.1801174787341093,0.5678871352292911,RUNNING,BoTorch
-447.7140548898236,60.83831615054428,26,26_0,4.999999995879534,9.178597344736884e-08,0.5000003414144618,2,1.0000000617981146,7.009982342739625e-08,RUNNING,BoTorch
-293.65095454074134,28.824495192263623,27,27_1,1.0000000001125724,3.735596147183553,0.0,2,3.599018133034492,0.0,RUNNING,BoTorch
-490.81332181814025,57.7567087657603,27,27_0,4.9999999999999885,0.5000000000003024,3.76261886050191e-15,2,1.3710012876528122,5.661442462421108e-14,RUNNING,BoTorch
-187.87287934999128,19.61443786898536,28,28_1,2.2181626162550776,3.8673859072956946,0.0,3,1.9257262423041868,1.0,RUNNING,BoTorch
-529.0729882321026,56.57671720534132,28,28_0,4.999999999999998,5.857611902496654e-15,0.5000000000000038,4,1.0000000000000095,2.3568718500625715e-16,RUNNING,BoTorch
-454.44989075619657,47.116658868811406,29,29_1,1.0000000000000004,1.4607015933904235,1.83056846460849e-15,2,2.798484815746117,3.8219663271309515e-17,RUNNING,BoTorch
-341.7887571126459,36.96462716283363,29,29_0,5.0,3.568049795361657,0.0,2,2.1081258737280204,0.0,RUNNING,BoTorch
-181.7295625678224,12.687770312376044,30,30_0,2.348896859963493,3.6889846591830904,0.0,4,2.3958238281189086,0.6793595938046142,RUNNING,BoTorch
-443.8862057984678,61.11880991095246,30,30_1,5.0,0.0,0.5000000000189023,2,2.800972837933403,1.0,RUNNING,BoTorch
