trial_index,arm_name,trial_status,generation_method,is_feasible,Total mob. Logsum increase with micro,Total subsidy ($),Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Peak fare factor,Micro to fixed factor
0,0_0,RUNNING,Sobol,True,1369.404670445947,-11792.864939504709,1.11022287607193,4.161094129085541,2.3118016719818115,5,2.7869155406951904,0.5025749802589417
0,0_1,RUNNING,Sobol,True,2216.244801587026,-10110.395474269155,3.130831614136696,2.1732085989788175,1.3013523621484637,4,1.0586229413747787,0.0644681928679347
0,0_10,RUNNING,Sobol,True,1486.2163045795755,-13934.89710169186,4.180234499275684,3.7644940055906773,1.0114239798858762,6,3.700964900664985,0.03022378869354725
0,0_11,RUNNING,Sobol,True,1724.9442193997236,-10046.384337623502,2.075842287391424,2.401513052172959,2.9533336367458105,4,2.44141096342355,0.5921098832041025
0,0_12,RUNNING,Sobol,True,1427.3203325798074,-7970.206518254686,2.8640055134892464,4.461385561153293,1.694226946681738,3,1.9755099471658468,0.9330151528120041
0,0_13,RUNNING,Sobol,True,1944.1705489815452,-11800.307286748237,4.876568343490362,1.8387319659814239,0.6896026907488704,5,3.417231049388647,0.495882548391819
0,0_14,RUNNING,Sobol,True,1307.9320765238535,-6071.035915493189,3.479932714253664,3.669036850333214,2.5542612466961145,2,2.8913982128724456,0.22518382593989372
0,0_2,RUNNING,Sobol,True,1871.0946121639943,-15801.139923668323,4.733462862670422,2.709561111405492,1.6421957183629274,7,2.243820766918361,0.3431311761960387
0,0_3,RUNNING,Sobol,True,1755.3281241342625,-6386.501677674624,2.5255970768630505,0.9559747902676463,0.4500836217775941,2,3.8985962690785527,0.7812393745407462
0,0_4,RUNNING,Sobol,True,1300.0367831136757,-8063.648263241515,2.2843107506632805,3.406638614833355,0.8788274070248008,3,3.6179734002798796,0.7449013041332364
0,0_5,RUNNING,Sobol,True,2709.3968665135662,-16129.266943715598,4.459002118557692,0.3933415049687028,2.6332477927207947,7,1.7748051919043064,0.1820358308032155
0,0_6,RUNNING,Sobol,True,1641.6613254557199,-9993.18933599005,3.9344977773725986,4.723965963348746,0.04220670182257891,4,1.5302244564518332,0.41330596152693033
0,0_7,RUNNING,Sobol,True,1960.0265018258071,-13837.736307761646,1.8220596462488174,1.476216926239431,1.9900100659579039,6,3.0656841034069657,0.976170958019793
0,0_8,RUNNING,Sobol,True,2124.7627269926365,-15839.464516358195,1.5383368022739887,3.1063415948301554,0.3652337556704879,7,1.235980922356248,0.8154763262718916
0,0_9,RUNNING,Sobol,True,1785.571556173269,-6463.9290445071,3.7054719626903534,0.7278125686571002,2.1255249604582787,2,2.6095178350806236,0.2535888012498617
1,1_0,RUNNING,BoTorch,True,2957.949890351401,-17127.32081265899,4.528741579235774,0.0,0.5000000000084481,7,1.0,0.0
1,1_1,RUNNING,BoTorch,True,2258.630662099973,-7017.399941346629,5.0,0.0,0.5000000000001872,2,1.0,1.0
2,2_0,RUNNING,BoTorch,True,2777.121160189655,-16339.352433120781,1.0,9.381592706907035e-12,2.9999999999992606,7,1.000000000006863,2.454065850107622e-12
2,2_1,RUNNING,BoTorch,True,2430.9498349307155,-11090.364833177015,2.5936624000281885,0.0,0.5000000000796938,4,1.0000000000004945,8.630679072507737e-11
3,3_0,RUNNING,BoTorch,True,2840.9257875991275,-16361.14313207636,4.999999999980471,2.2469547555219166e-13,2.9999999999981566,7,1.0000000000020197,0.9999999999995863
3,3_1,RUNNING,BoTorch,True,1565.8699748370889,-5979.331019929355,4.999999999960176,4.664826266909192,2.9999999999689075,2,1.0,0.0
4,4_0,RUNNING,BoTorch,True,1705.0076976884993,-6274.209282669455,5.0,2.8657564519822682,1.4711598623415423,2,1.0,0.21500103667675813
4,4_1,RUNNING,BoTorch,True,3003.995357786146,-17130.435672813255,5.0,0.0,0.49999999987571586,7,1.0,0.0
5,5_0,RUNNING,BoTorch,True,2932.4559383432706,-17137.577128517198,4.999999999999856,0.0,0.5000000000010962,7,1.0000000000007114,0.0
5,5_1,RUNNING,BoTorch,True,1909.5477588148433,-6583.184395421126,4.999999999999652,0.5040185576581336,0.3098602418443177,2,3.9999999999997593,0.9999999999999771
6,6_0,RUNNING,BoTorch,True,2940.915649710168,-17114.905133279794,4.999999999815248,4.9193774241129567e-11,0.5000000000303362,7,1.0000000000838671,0.5323409305385287
6,6_1,RUNNING,BoTorch,True,2965.6189840173183,-17131.690224316902,5.0,0.0,0.4999999998571284,7,1.0,1.0
7,7_0,RUNNING,BoTorch,True,1516.3970572380092,-6025.868100961046,1.0,5.0,3.0,2,1.0,0.0
7,7_1,RUNNING,BoTorch,True,2995.010261719222,-17139.413691796944,5.0,8.183389923583302e-12,0.4999999998484552,7,4.0,0.0
8,8_0,RUNNING,BoTorch,True,3019.973803654033,-17121.07897471501,4.999999999867844,3.38385741195436e-11,0.50000000033421,7,4.0,8.229092110917157e-11
8,8_1,RUNNING,BoTorch,True,1406.9879838014338,-5942.478244346878,5.0,5.0,3.0,2,1.0,1.0
9,9_0,RUNNING,BoTorch,True,2829.7099655377724,-17122.64817632536,1.0,0.0,0.49999999663221895,7,1.0,1.0
9,9_1,RUNNING,BoTorch,True,1880.4429730108006,-6506.819661683665,5.0,1.8486271662314648,0.5372906732569089,2,1.0,1.0
10,10_0,RUNNING,BoTorch,True,2660.808590338321,-13089.668473293463,5.0,1.5301255039405473e-13,0.49999999999998324,5,1.0000000000000457,0.999999999999987
10,10_1,RUNNING,BoTorch,True,2339.8309856235965,-9063.625672318238,4.99999989849988,1.57110417036923e-07,0.500000000011322,3,1.0000000066227643,0.999999006731563
11,11_0,RUNNING,BoTorch,True,1506.9712437779308,-6116.358485846613,5.0,5.0,3.0,2,1.0000000034772567,2.803958354561494e-10
11,11_1,RUNNING,BoTorch,True,2724.2326789544773,-12693.78131557123,5.0,2.1011245639201217e-12,1.941581687590382,5,1.000000000000857,7.862337555437189e-14
12,12_0,RUNNING,BoTorch,True,1528.9034170728894,-6079.855139956349,1.000000000000082,4.0508979185462755,2.99999999999957,2,1.0000000000007352,0.9999999999999504
12,12_1,RUNNING,BoTorch,True,2847.338156623952,-16345.480916069508,4.999999995833928,0.0,2.9999999991863566,7,3.9999999970441595,7.105140237694356e-10
13,13_0,RUNNING,BoTorch,True,1637.4970755725903,-6209.039475905784,4.999999999800075,1.0604907231793823,2.9999999928862833,2,3.999999993322448,2.948700612556333e-11
13,13_1,RUNNING,BoTorch,True,1823.532741965557,-6429.33210202927,5.0,0.9361078653806885,3.0,2,1.0,1.0
14,14_0,RUNNING,BoTorch,True,1627.241930477254,-6113.137222981075,4.999999991031464,4.271226546758846,2.999999999983219,2,1.0,8.701296588186519e-09
14,14_1,RUNNING,BoTorch,True,2943.0331777105675,-17116.079423269137,5.0,0.0,0.49999999997882,7,1.0,1.0
15,15_0,RUNNING,BoTorch,True,1502.4850526741932,-6096.437080580199,1.0,4.649944857985629,2.999999999999971,2,1.000000000000138,0.9999999999999961
15,15_1,RUNNING,BoTorch,True,3016.031747303102,-17120.720153276863,5.0,0.0,0.4999999999992957,7,4.0,1.0
16,16_0,RUNNING,BoTorch,True,3000.0926408113874,-17109.99404055177,4.999999999997327,0.0,0.5000000000431137,7,3.99999999999472,0.9999999975174622
16,16_1,RUNNING,BoTorch,True,1465.1223779937168,-6183.360547978439,1.0,4.8070525709934655,3.0,2,1.0,1.0
17,17_0,RUNNING,BoTorch,True,1484.6687413967236,-6092.274875450379,5.0,4.2086226109727,3.0,2,1.00000000001149,7.497831702412203e-12
17,17_1,RUNNING,BoTorch,True,3005.6373615779735,-17113.934405215517,4.999999999765383,2.818674729584986e-09,0.4999999999476987,7,3.999999999999958,0.9999999999999972
18,18_0,RUNNING,BoTorch,True,1878.0750796703685,-6585.058652801831,5.0,0.12298117050577984,2.9999999999856817,2,4.0,1.3098519037584306e-12
18,18_1,RUNNING,BoTorch,True,3152.0554407293366,-16773.43481005274,4.999999962148324,0.12066421435112823,0.4900910572930476,7,3.0353461205812278,2.9792317063012295e-09
19,19_0,RUNNING,BoTorch,True,2858.94405713425,-14676.713479255108,4.999999999985777,0.13962782970479673,0.9360741693142998,6,2.636937550419809,1.274526380307903e-10
19,19_1,RUNNING,BoTorch,True,1486.4444596385244,-6094.860400395271,4.999996839228805,2.1165619903103488,2.5613318444467685,2,4.0,1.2165103767868528e-06
20,20_0,RUNNING,BoTorch,True,1878.5172670970817,-6633.378024470161,5.0,0.0,3.0,2,1.0,1.035224908255351e-07
20,20_1,RUNNING,BoTorch,True,2507.508565072307,-10564.688028915702,4.999999999927548,2.1442463334040247e-09,3.0,4,1.0000000000377476,0.0
21,21_0,RUNNING,BoTorch,True,3181.7969624022776,-16704.915637281025,4.999999999999782,0.16944326108614738,0.3305567389152654,7,3.5111194972247803,5.131235914853261e-15
21,21_1,RUNNING,BoTorch,True,1230.484892937808,-6132.818113028719,5.0,4.406704632835274,2.9999999999965428,2,2.774499776002367,0.0
22,22_0,RUNNING,BoTorch,True,1617.1573307029882,-6243.344780010359,4.999801204959601,1.576801903329788,2.9997769430967383,2,3.4771276504487965,1.0
22,22_1,RUNNING,BoTorch,True,1816.7709515067113,-6296.029251672664,4.999996132651668,2.279046670768984,2.9999999312385563,2,1.0,0.0
23,23_0,RUNNING,BoTorch,True,2655.102803964452,-12477.86348428038,4.999999998225427,0.0,2.9999999899238445,5,1.0,0.0
23,23_1,RUNNING,BoTorch,True,3062.926423929939,-16667.173724860855,4.999999999997192,0.18883110327846764,0.3111688967099014,7,3.4475963464440333,0.09977398242700519
24,24_0,RUNNING,BoTorch,True,1950.788608376979,-6666.732218623652,5.0,6.517476438591652e-11,2.9999999989638937,2,3.5066294521723624,0.9999999997730863
24,24_1,RUNNING,BoTorch,True,3045.9057345049105,-16751.376573510497,5.0,0.14540332750259805,0.35459667058298083,7,3.660617430528613,3.0930606293829833e-16
25,25_0,RUNNING,BoTorch,True,1792.7855399780838,-6443.94629992234,5.0,0.3864768038410063,3.0,2,3.840327593694296,0.0
25,25_1,RUNNING,BoTorch,True,2937.644339583657,-16937.97763406594,5.0,0.07977242745059154,0.4455601286570997,7,2.4783297926934917,3.1375582847730174e-16
